CustomerID,CustomerName,Email,Phone,City,State,Region,Segment,SignupDate
1,Donald Walker,rhodespatricia@example.org,0012605013389,Robinsonshire,Louisiana,Northeast,Consumer,2024-09-28
2,Robert Wolfe,joshua35@example.org,3618559407,New Kellystad,Oregon,Midwest,Consumer,2025-08-04
3,Matthew Mejia,wyattmichelle@example.com,5754255341928,Grayside,Iowa,Southeast,Consumer,2022-07-04
4,Patty Perez,trujillorichard@example.org,4955376724,Juliechester,Pennsylvania,Northeast,Small Business,2024-12-19
5,Zachary Hicks,camposmichelle@example.org,132669166978480,Danielchester,Hawaii,West,Consumer,2023-07-17
6,Sherri Baker,williamrodriguez@example.net,28933252880957,Natashaport,Kansas,West,Corporate,2023-10-24
7,Theresa Miller,wcabrera@example.net,001822778248963834,Lammouth,Delaware,Northeast,Consumer,2021-10-31
8,Alex Spencer,adrianzimmerman@example.org,5104518347,Sanchezfort,Nebraska,Northeast,Consumer,2022-10-13
9,Jeffrey Henderson,dshields@example.net,141066513338726,Wrightland,New Hampshire,Southeast,Small Business,2022-06-30
10,Annette Pearson,novaksara@example.org,2678736026,Saramouth,Maine,West,Consumer,2025-08-02
11,Whitney Peters,smoore@example.org,4982050097,Port Jacobland,Utah,West,Consumer,2023-08-29
12,Todd Hudson,harveyrobert@example.net,0014856435346,Stewartland,Alabama,West,Corporate,2025-11-08
13,Dr. Angel Lewis MD,nicole35@example.com,3784498084,Darrellville,West Virginia,Southeast,Corporate,2023-11-02
14,Larry Robbins,gracefarrell@example.net,84021640052427,North Sierraberg,Ohio,West,Corporate,2024-04-23
15,Juan Jordan,parkerrachel@example.org,8332158692322,Lake Sandra,Nebraska,Northeast,Consumer,2021-09-21
16,Rita Adams,reyesbenjamin@example.com,8377543303,Michelleview,Minnesota,Southwest,Corporate,2025-07-22
17,William Herrera,wilsontara@example.org,0013408196556,West Bradley,Nevada,Midwest,Consumer,2024-10-01
18,Kimberly Ball,michaeljones@example.net,895814846564823,New Ashley,Montana,Southeast,Corporate,2021-07-21
19,Dustin Jordan,steven73@example.net,22124895134332,South Cheryl,Wyoming,Northeast,Consumer,2024-04-14
20,Mark Lee,psnyder@example.org,140196328708317,Stephaniemouth,South Carolina,Southwest,Consumer,2021-11-28
21,Jessica Meadows,vmerritt@example.com,6437487347143,Patricialand,Florida,Midwest,Corporate,2025-08-15
22,Christian Lewis,irussell@example.com,803566909670546,Robinsonchester,New York,West,Corporate,2022-04-19
23,Michael Powell,marycalhoun@example.net,19064990162,West Nicholasborough,New Jersey,Northeast,Small Business,2021-09-09
24,Jamie Walton,fking@example.com,5802531003,East David,Texas,Southwest,Small Business,2023-03-07
25,Julie Scott,gary91@example.org,61930496631931,West Amandastad,California,Northeast,Corporate,2022-02-11
26,Samuel Short,hamiltonmichael@example.com,0016267284987769,Port Sarah,Louisiana,Northeast,Small Business,2024-01-28
