CustomerID,CustomerName,Email,Phone,City,State,Region,Segment,SignupDate
1,Donald Walker,rhodespatricia@example.org,001-260-501-3389,Robinsonshire,Louisiana,Northeast,Consumer,2024-09-28
2,Robert Wolfe,joshua35@example.org,361-855-9407,New Kellystad,Oregon,Midwest,Consumer,2025-08-04
3,Matthew Mejia,wyattmichelle@example.com,575-425-5341x928,Grayside,Iowa,Southeast,Consumer,2022-07-04
4,Patty Perez,trujillorichard@example.org,495.537.6724,Juliechester,Pennsylvania,Northeast,Small Business,2024-12-19
5,Zachary Hicks,camposmichelle@example.org,+1-326-691-6697x8480,Danielchester,Hawaii,West,Consumer,2023-07-17
6,Sherri Baker,williamrodriguez@example.net,289-332-5288x0957,Natashaport,Kansas,West,Corporate,2023-10-24
7,Theresa Miller,wcabrera@example.net,001-822-778-2489x63834,Lammouth,Delaware,Northeast,Consumer,2021-10-31
8,Alex Spencer,adrianzimmerman@example.org,510.451.8347,Sanchezfort,Nebraska,Northeast,Consumer,2022-10-13
9,Jeffrey Henderson,dshields@example.net,+1-410-665-1333x8726,Wrightland,New Hampshire,Southeast,Small Business,2022-06-30
10,Annette Pearson,novaksara@example.org,(267)873-6026,Saramouth,Maine,West,Consumer,2025-08-02
11,Whitney Peters,smoore@example.org,4982050097,Port Jacobland,Utah,West,Consumer,2023-08-29
12,Todd Hudson,harveyrobert@example.net,001-485-643-5346,Stewartland,Alabama,West,Corporate,2025-11-08
13,Dr. Angel Lewis MD,nicole35@example.com,(378)449-8084,Darrellville,West Virginia,Southeast,Corporate,2023-11-02
14,Larry Robbins,gracefarrell@example.net,840.216.4005x2427,North Sierraberg,Ohio,West,Corporate,2024-04-23
15,Juan Jordan,parkerrachel@example.org,(833)215-8692x322,Lake Sandra,Nebraska,Northeast,Consumer,2021-09-21
16,Rita Adams,reyesbenjamin@example.com,837.754.3303,Michelleview,Minnesota,Southwest,Corporate,2025-07-22
17,William Herrera,wilsontara@example.org,001-340-819-6556,West Bradley,Nevada,Midwest,Consumer,2024-10-01
18,Kimberly Ball,michaeljones@example.net,895-814-8465x64823,New Ashley,Montana,Southeast,Corporate,2021-07-21
19,Dustin Jordan,steven73@example.net,221.248.9513x4332,South Cheryl,Wyoming,Northeast,Consumer,2024-04-14
20,Mark Lee,psnyder@example.org,+1-401-963-2870x8317,Stephaniemouth,South Carolina,Southwest,Consumer,2021-11-28
21,Jessica Meadows,vmerritt@example.com,643.748.7347x143,Patricialand,Florida,Midwest,Corporate,2025-08-15
22,Christian Lewis,irussell@example.com,(803)566-9096x70546,Robinsonchester,New York,West,Corporate,2022-04-19
23,Michael Powell,marycalhoun@example.net,+1-906-499-0162,West Nicholasborough,New Jersey,Northeast,Small Business,2021-09-09
24,Jamie Walton,fking@example.com,5802531003,East David,Texas,Southwest,Small Business,2023-03-07
