CustomerID,CustomerName,Email,Phone,City,State,Region,Segment,SignupDate,CustomerLifetimeValue,PurchaseCount,AverageOrderValue
1,Donald Walker,rhodespatricia@example.org,0012605013389,Robinsonshire,Louisiana,Northeast,Consumer,2024-09-28,13293.06,9,1477.0066666666667
2,Robert Wolfe,joshua35@example.org,3618559407,New Kellystad,Oregon,Midwest,Consumer,2025-08-04,13393.59,11,1217.5990909090908
3,Matthew Mejia,wyattmichelle@example.com,5754255341928,Grayside,Iowa,Southeast,Consumer,2022-07-04,13023.21,10,1302.321
4,Patty Perez,trujillorichard@example.org,4955376724,Juliechester,Pennsylvania,Northeast,Small Business,2024-12-19,7649.07,5,1529.8139999999999
5,Zachary Hicks,camposmichelle@example.org,132669166978480,Danielchester,Hawaii,West,Consumer,2023-07-17,14584.53,12,1215.3775
6,Sherri Baker,williamrodriguez@example.net,28933252880957,Natashaport,Kansas,West,Corporate,2023-10-24,142.58,1,142.58
7,Theresa Miller,wcabrera@example.net,001822778248963834,Lammouth,Delaware,Northeast,Consumer,2021-10-31,10530.54,9,1170.0600000000002
8,Alex Spencer,adrianzimmerman@example.org,5104518347,Sanchezfort,Nebraska,Northeast,Consumer,2022-10-13,9425.76,10,942.576
9,Jeffrey Henderson,dshields@example.net,141066513338726,Wrightland,New Hampshire,Southeast,Small Business,2022-06-30,9589.24,6,1598.2066666666667
10,Annette Pearson,novaksara@example.org,2678736026,Saramouth,Maine,West,Consumer,2025-08-02,7253.78,7,1036.2542857142857
11,Whitney Peters,smoore@example.org,4982050097,Port Jacobland,Utah,West,Consumer,2023-08-29,12244.91,11,1113.1736363636364
12,Todd Hudson,harveyrobert@example.net,0014856435346,Stewartland,Alabama,West,Corporate,2025-11-08,25665.850000000002,8,3208.2312500000003
13,Dr. Angel Lewis MD,nicole35@example.com,3784498084,Darrellville,West Virginia,Southeast,Corporate,2023-11-02,28557.91,9,3173.101111111111
14,Larry Robbins,gracefarrell@example.net,84021640052427,North Sierraberg,Ohio,West,Corporate,2024-04-23,26151.21,9,2905.69
15,Juan Jordan,parkerrachel@example.org,8332158692322,Lake Sandra,Nebraska,Northeast,Consumer,2021-09-21,20416.24,12,1701.3533333333335
16,Rita Adams,reyesbenjamin@example.com,8377543303,Michelleview,Minnesota,Southwest,Corporate,2025-07-22,30483.989999999998,10,3048.399
17,William Herrera,wilsontara@example.org,0013408196556,West Bradley,Nevada,Midwest,Consumer,2024-10-01,14850.3,8,1856.2875
18,Kimberly Ball,michaeljones@example.net,895814846564823,New Ashley,Montana,Southeast,Corporate,2021-07-21,24341.760000000002,8,3042.7200000000003
19,Dustin Jordan,steven73@example.net,22124895134332,South Cheryl,Wyoming,Northeast,Consumer,2024-04-14,17629.829999999998,11,1602.711818181818
20,Mark Lee,psnyder@example.org,140196328708317,Stephaniemouth,South Carolina,Southwest,Consumer,2021-11-28,14652.119999999999,12,1221.01
21,Jessica Meadows,vmerritt@example.com,6437487347143,Patricialand,Florida,Midwest,Corporate,2025-08-15,33021.25,13,2540.096153846154
22,Christian Lewis,irussell@example.com,803566909670546,Robinsonchester,New York,West,Corporate,2022-04-19,37533.07,11,3412.097272727273
23,Michael Powell,marycalhoun@example.net,19064990162,West Nicholasborough,New Jersey,Northeast,Small Business,2021-09-09,22479.5,11,2043.590909090909
24,Jamie Walton,fking@example.com,5802531003,East David,Texas,Southwest,Small Business,2023-03-07,15495.22,6,2582.5366666666664
25,Julie Scott,gary91@example.org,61930496631931,West Amandastad,California,Northeast,Corporate,2022-02-11,39059.229999999996,11,3550.8390909090904
26,Samuel Short,hamiltonmichael@example.com,0016267284987769,Port Sarah,Louisiana,Northeast,Small Business,2024-01-28,24416.23,10,2441.623
27,John Bishop,frogers@example.com,2735545494,East Jenniferfort,Oklahoma,Midwest,Small Business,2025-12-14,28095.45,13,2161.1884615384615
28,Maria Henry,davisjeffrey@example.net,7497578856,Nelsonview,Iowa,West,Corporate,2025-05-03,15322.27,8,1915.28375
29,Bryan Herrera,jamesrodgers@example.com,00149869413435240,North Angelaberg,South Dakota,West,Consumer,2022-02-23,9705.02,11,882.2745454545455
30,Shane Andrews MD,dpeterson@example.com,51136719022941,Obrienbury,Wyoming,Northeast,Consumer,2025-11-20,15735.59,13,1210.43
31,Jeremy Dalton,ntorres@example.org,12138341232812,Norrisfort,Maine,Southeast,Corporate,2024-02-27,8897.32,7,1271.0457142857142
32,Douglas Heath,mcdanielsandra@example.net,0013362183242,Port Kyle,West Virginia,Northeast,Consumer,2021-09-15,7213.58,6,1202.2633333333333
33,Jessica Harrison,holly48@example.net,27169065940139,Port Katelynfort,North Dakota,Northeast,Corporate,2025-08-31,36343.12,14,2595.937142857143
34,Catherine Richards,ecosta@example.com,755612567468071,Darrellfurt,North Carolina,Midwest,Corporate,2024-10-20,14375.28,7,2053.611428571429
